,hostel.name,City,price.from,Distance,summary.score,rating.band,atmosphere,cleanliness,facilities,location.y,security,staff,valueformoney,lon,lat
167,Hotel Graphy Nezu,Tokyo,1800,7.6km from city centre,8.9,Fabulous,8.5,9.1,9.2,8.5,9.3,9.3,8.8,139.768667,35.717269
168,Hotel Kawase Tokyo and Capsule,Tokyo,1900,9.8km from city centre,6.4,Good,5.4,5.1,6,8,6.3,7.4,6.6,NA,NA
169,Hotel Mikado,Osaka,2000,6.5km from city centre,8.7,Fabulous,9.3,7.3,8,9.3,8,9.3,9.3,NA,NA
170,Hotel Raizan South,Osaka,2000,6.5km from city centre,8.1,Fabulous,7,7,9,9,8,8,9,135.504278,34.648413
171,Hotel Shin-Imamiya,Osaka,1400,6.3km from city centre,6.6,Good,4.8,7.3,6,7.8,8.3,6.3,5.8,135.5015478,34.6497931
172,Hotel Sun Plaza,Osaka,1300,6.3km from city centre,6.5,Good,6,7.3,6,6.7,6,7.3,6,NA,NA
173,Hotel Taiyo,Osaka,1500,6.5km from city centre,8.1,Fabulous,7.3,8,8,8.7,8.7,8,8,135.5047718,34.6483624
174,Hotel Wako,Osaka,1600,6.8km from city centre,6,Good,4,4,6,6,8,6,8,135.5018819,34.6459573
175,Hotel&Hostel On the Marks Tokyo Kawasaki,Tokyo,1900,18.1km from city centre,9.6,Superb,9.6,10,9.6,8.7,9.9,9.9,9.6,139.6985808,35.5269926
176,Idocoro,Osaka,1800,2.2km from city centre,8.2,Fabulous,7.1,8.9,8,7.6,8.8,8.7,8.2,135.5086675,34.6873302
177,Ikidane House,Tokyo,2000,8.2km from city centre,9.1,Superb,8,9.6,8.8,9.2,9.2,9.6,9.2,139.7604533,35.7373998
178,Ikidane House Asakusa Hatago,Tokyo,2000,10km from city centre,8.9,Fabulous,10,10,10,4,10,8,10,139.7950489,35.722089
179,Ikidane House Namba,Osaka,1200,6.5km from city centre,9.3,Superb,8.9,9.6,9.7,8.8,8.9,9.6,9.6,135.5019794,34.6479104
